origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1,target_next_year_tons
44,Rhode Island,39,Ohio,2020,204.84124200000002,681.3743509999999,205.913728,706.474546,-0.0052084239861849785,-0.035528803043386785,590.9031191455603,1.2548791666666668,204.121621
44,Rhode Island,39,Ohio,2021,204.121621,658.035806,204.84124200000002,681.3743509999999,-0.003513066963341385,-0.03425216250912262,590.9031191455603,4.6765175,200.996395
44,Rhode Island,39,Ohio,2022,200.996395,659.287946,204.121621,658.035806,-0.015310607395186214,0.0019028447822793005,590.9031191455603,7.998425833333333,193.191514
44,Rhode Island,39,Ohio,2023,193.191514,650.043547,200.996395,659.287946,-0.03883095017699195,-0.0140217928389063,590.9031191455603,4.1461049999999995,183.339972
44,Rhode Island,40,Oklahoma,2019,1.949609,33.228236,1.9973210000000001,33.966563,-0.023887997973285315,-0.02173687693983045,1429.7434979123948,1.8126316666666666,1.870945
44,Rhode Island,40,Oklahoma,2020,1.870945,31.830453,1.949609,33.228236,-0.0403486032327507,-0.042066121114584715,1429.7434979123948,1.2548791666666668,1.803482
44,Rhode Island,40,Oklahoma,2021,1.803482,31.389366,1.870945,31.830453,-0.03605824863905676,-0.013857389965515086,1429.7434979123948,4.6765175,1.857287
44,Rhode Island,40,Oklahoma,2022,1.857287,32.163381,1.803482,31.389366,0.029833954539052722,0.024658510146398055,1429.7434979123948,7.998425833333333,1.868265
44,Rhode Island,40,Oklahoma,2023,1.868265,32.206079,1.857287,32.163381,0.005910772002388514,0.0013275345648519183,1429.7434979123948,4.1461049999999995,1.847254
44,Rhode Island,41,Oregon,2019,10.414655999999999,191.783219,10.788219,198.105322,-0.0346269388858347,-0.0319128377580891,2521.6702948824072,1.8126316666666666,9.942350000000001
44,Rhode Island,41,Oregon,2020,9.942350000000001,185.34723100000002,10.414655999999999,191.783219,-0.045350129663427954,-0.033558660833615375,2521.6702948824072,1.2548791666666668,10.311116
44,Rhode Island,41,Oregon,2021,10.311116,190.901832,9.942350000000001,185.34723100000002,0.03709042630766358,0.02996862143573103,2521.6702948824072,4.6765175,9.755952
44,Rhode Island,41,Oregon,2022,9.755952,181.448687,10.311116,190.901832,-0.05384131067868886,-0.04951835663892427,2521.6702948824072,7.998425833333333,10.058247
44,Rhode Island,41,Oregon,2023,10.058247,183.344084,9.755952,181.448687,0.03098569980664102,0.010445911906764046,2521.6702948824072,4.1461049999999995,10.270147
