origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
39,Ohio,47,Tennessee,2024,2025,linear_regression,2879.0767864054883
26,Michigan,21,Kentucky,2024,2025,linear_regression,2870.2802332532724
42,Pennsylvania,48,Texas,2024,2025,linear_regression,2854.235163232331
29,Missouri,19,Iowa,2024,2025,linear_regression,2853.3764845415126
24,Maryland,34,New Jersey,2024,2025,linear_regression,2846.4650342874843
34,New Jersey,39,Ohio,2024,2025,linear_regression,2844.0429504069975
8,Colorado,6,California,2024,2025,linear_regression,2838.2538757967372
5,Arkansas,29,Missouri,2024,2025,linear_regression,2806.3127816238725
26,Michigan,42,Pennsylvania,2024,2025,linear_regression,2800.122944661667
42,Pennsylvania,13,Georgia,2024,2025,linear_regression,2784.891671783477
18,Indiana,47,Tennessee,2024,2025,linear_regression,2767.6668452799972
56,Wyoming,8,Colorado,2024,2025,linear_regression,2697.2529365909986
20,Kansas,17,Illinois,2024,2025,linear_regression,2685.4289494592517
23,Maine,33,New Hampshire,2024,2025,linear_regression,2683.4025837788745
37,North Carolina,42,Pennsylvania,2024,2025,linear_regression,2671.972332559559
23,Maine,25,Massachusetts,2024,2025,linear_regression,2666.5511227533407
49,Utah,16,Idaho,2024,2025,linear_regression,2659.634984040851
42,Pennsylvania,26,Michigan,2024,2025,linear_regression,2645.200962911284
28,Mississippi,5,Arkansas,2024,2025,linear_regression,2613.2370255410397
37,North Carolina,48,Texas,2024,2025,linear_regression,2576.8577592390116
26,Michigan,6,California,2024,2025,linear_regression,2575.51059536615
47,Tennessee,18,Indiana,2024,2025,linear_regression,2568.038291662212
42,Pennsylvania,25,Massachusetts,2024,2025,linear_regression,2567.6406226943886
34,New Jersey,25,Massachusetts,2024,2025,linear_regression,2544.479069924007
34,New Jersey,17,Illinois,2024,2025,linear_regression,2542.8437226594574
8,Colorado,48,Texas,2024,2025,linear_regression,2539.813704967469
25,Massachusetts,39,Ohio,2024,2025,linear_regression,2539.5732693034834
17,Illinois,12,Florida,2024,2025,linear_regression,2532.229594195569
21,Kentucky,48,Texas,2024,2025,linear_regression,2517.2141341705587
21,Kentucky,13,Georgia,2024,2025,linear_regression,2502.0457771235283
42,Pennsylvania,9,Connecticut,2024,2025,linear_regression,2454.8345169367167
18,Indiana,42,Pennsylvania,2024,2025,linear_regression,2453.8257793672155
55,Wisconsin,39,Ohio,2024,2025,linear_regression,2434.3600955900265
25,Massachusetts,23,Maine,2024,2025,linear_regression,2433.5662075951936
55,Wisconsin,48,Texas,2024,2025,linear_regression,2430.86666669303
34,New Jersey,48,Texas,2024,2025,linear_regression,2421.7665652250457
17,Illinois,22,Louisiana,2024,2025,linear_regression,2414.616627932225
6,California,47,Tennessee,2024,2025,linear_regression,2403.084528432941
4,Arizona,48,Texas,2024,2025,linear_regression,2395.2637286570707
51,Virginia,36,New York,2024,2025,linear_regression,2394.705922225394
10,Delaware,34,New Jersey,2024,2025,linear_regression,2382.632889660349
37,North Carolina,36,New York,2024,2025,linear_regression,2349.6791604098676
48,Texas,21,Kentucky,2024,2025,linear_regression,2339.820528604945
6,California,18,Indiana,2024,2025,linear_regression,2330.6934478040107
20,Kansas,8,Colorado,2024,2025,linear_regression,2323.838564375545
22,Louisiana,1,Alabama,2024,2025,linear_regression,2320.674914222059
48,Texas,1,Alabama,2024,2025,linear_regression,2308.6253931916503
17,Illinois,51,Virginia,2024,2025,linear_regression,2304.6169739206257
9,Connecticut,34,New Jersey,2024,2025,linear_regression,2303.524227197361
48,Texas,28,Mississippi,2024,2025,linear_regression,2302.8462197411027
54,West Virginia,24,Maryland,2024,2025,linear_regression,2291.362304822601
33,New Hampshire,23,Maine,2024,2025,linear_regression,2290.1813156976
47,Tennessee,6,California,2024,2025,linear_regression,2288.1077497807746
6,California,8,Colorado,2024,2025,linear_regression,2287.8233227774176
19,Iowa,20,Kansas,2024,2025,linear_regression,2284.2710903181933
55,Wisconsin,6,California,2024,2025,linear_regression,2282.093765702975
21,Kentucky,37,North Carolina,2024,2025,linear_regression,2280.3861335788165
17,Illinois,47,Tennessee,2024,2025,linear_regression,2275.6416141480668
21,Kentucky,26,Michigan,2024,2025,linear_regression,2266.1056019558955
48,Texas,20,Kansas,2024,2025,linear_regression,2259.1436295762574
36,New York,17,Illinois,2024,2025,linear_regression,2254.4261239482034
39,Ohio,37,North Carolina,2024,2025,linear_regression,2246.3482854224158
